2026-06-27 23:08:07.941 [info] [BrowserOnboardingClientMainService] Starting browser onboarding server
2026-06-27 23:08:07.941 [info] [BrowserOnboardingClientServer] Browser onboarding server started on http://localhost:33815
2026-06-27 23:08:07.941 [info] update#setState idle
2026-06-27 23:08:37.933 [info] update#setState checking for updates
2026-06-27 23:08:38.343 [info] update#setState idle
2026-06-27 23:21:18.331 [warning] [perf] profiling STARTED 5a51d59a-d460-4587-b096-52116e1a7052
2026-06-27 23:21:23.358 [warning] [perf] profiling DONE 5a51d59a-d460-4587-b096-52116e1a7052
2026-06-27 23:21:38.582 [warning] [perf] profiling STARTED 5a51d59a-d460-4587-b096-52116e1a7052
2026-06-27 23:21:43.605 [warning] [perf] profiling DONE 5a51d59a-d460-4587-b096-52116e1a7052
2026-06-27 23:21:58.849 [warning] [perf] profiling STARTED 5a51d59a-d460-4587-b096-52116e1a7052
2026-06-27 23:22:03.879 [warning] [perf] profiling DONE 5a51d59a-d460-4587-b096-52116e1a7052
2026-06-27 23:32:35.290 [warning] [perf] profiling STARTED e5e57507-36aa-4383-8403-47842fde420e
2026-06-27 23:32:40.322 [warning] [perf] profiling DONE e5e57507-36aa-4383-8403-47842fde420e
2026-06-27 23:32:55.572 [warning] [perf] profiling STARTED e5e57507-36aa-4383-8403-47842fde420e
2026-06-27 23:33:00.598 [warning] [perf] profiling DONE e5e57507-36aa-4383-8403-47842fde420e
2026-06-27 23:33:15.847 [warning] [perf] profiling STARTED e5e57507-36aa-4383-8403-47842fde420e
2026-06-27 23:33:20.881 [warning] [perf] profiling DONE e5e57507-36aa-4383-8403-47842fde420e
